Tên sản phẩm,Giá bán cũ,Giá mới,warranty,condition,Xuất xứ,Thời điểm ra mắt,Thời gian bảo hành (tháng),Hướng dẫn bảo quản,Hướng dẫn sử dụng,Kích thước,Trọng lượng sản phẩm,Chuẩn kháng nước / Bụi bẩn,Chất liệu,Phiên bản CPU,Loại CPU,Số nhân,Tốc độ tối đa,RAM,Kích thước màn hình,Công nghệ màn hình,Chuẩn màn hình,Độ phân giải,Màu màn hình,Tần số quét,Chất liệu mặt kính,Loại cảm ứng,Độ sáng,Chip đồ hoạ (GPU),Dung lượng (ROM),Bộ nhớ còn lại,Danh bạ lưu trữ,Thẻ nhớ ngoài,Số camera sau,Camera,Resolution,Aperture,Quay phim,Tính năng,Số Camera Selfie,Cảm biến,Bảo mật,Hỗ trợ mạng,Cổng giao tiếp,Wifi,GPS,Bluetooth,Kết nối khác,Số khe SIM,Thẻ SIM,Loại PIN,Dung lượng pin,OS,Version,Phụ kiện trong hộp,Hỗ trợ thẻ nhớ tối đa,Tỷ lệ diện tích sử dụng màn hình,Loại RAM,Kích thước màn hình phụ,Tỷ lệ màn hình,Mật độ điểm ảnh,Độ tương phản,Độ phủ màu,Pixel size,CPU,Pixel Size,Camera Type 1,Camera Type 2,Camera Type 3,Quay phim camera sau,Quay phim camera seflie,Tính năng camera selfie,Tính năng đặc biệt,Sensor,Type,Quay phim camera selfie
Samsung Galaxy A15,3.167.560 ₫,Not available,2 tháng,Trầy xước ít,Việt Nam / Trung Quốc,12/2023,2,,,160.1 x 76.8 x 8.4 mm,197 g,Không,Mặt lưng máy: Nhựa Polycarbonate Khung máy: Nhựa Polycarbonate,MediaTek G99,,8,,8 GB,6.5 inch,Super AMOLED,FHD+,1080 x 2408 Pixels,16 Triệu,90,Kính cường lực,Điện dung đa điểm,800 nits,Mali-G57,128 GB,,Không giới hạn,MicroSD,Triple rear camera,Standard - Ultra Wide - Macro lens,50.0 MP - 5.0 MP - 2.0 MP - 13.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.0,,Chạm lấy nét Làm đẹp video Chụp góc siêu rộng (Ultrawide) Siêu cận (Macro) Xóa phông Toàn cảnh (Panorama) Ban đêm (Night Mode) Chuyên nghiệp (Pro) Quay chậm (Slow Motion) - Làm đẹp (Beautify) Xoá phông - Chạm 2 lần sáng màn hình Ghi âm cuộc gọi,Single selfie camera,Cảm biến gia tốc,Mở khóa vân tay,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 a/b/g/n/ac/ac wave 2/ax Wi-Fi Direct Wi-Fi Hotspot Dual-band (2.4 GHz/ 5 GHz),BEIDOU QZSS GLONASS GALILEO,v5.1,Bluetooth Jack 3.5 mm,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0,Sách HDSD Cáp Que lấy SIM,1 TB,,,,19.5:9,,,,,8 x 2.2 GHz,,,,,,,,,,,
OPPO A17k 3GB-64GB,1.839.200 ₫,3.290.000 ₫,3 tháng,Trầy xước ít,Trung Quốc,10/2022,3,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,164.2 x 75.6 x 8.3,189 g,IPX4,Khung máy: Nhựa,Helio G35,Octa-Core,8,2.3 GHz,3 GB,6.56 inch,LCD,HD+,720 x 1612 Pixels,16 Triệu,60 Hz,Kính cường lực Panda,Điện dung đa điểm,,PowerVR GE8320,64 GB,,Không giới hạn,MicroSD,Single rear camera,Standard,8.0 MP - 5.0 MP,ƒ/2.0 - ƒ/2.2,HD 720p@30fps FullHD 1080p@30fps - Quay phim HD,Tự động lấy nét (AF) Làm đẹp (Beautify) HDR Gắn thẻ ảnh địa lý Flash LED - Tự động lấy nét (AF) Làm đẹp (Beautify),Single selfie camera,Cảm biến vân tay Cảm biến tiệm cận Cảm biến la bàn Cảm biến ánh sáng Cảm biến gia tốc,Mở khoá vân tay cạnh viền Mở khóa bằng mật mã,4G,Audio Jack: Jack 3.5 mm Cổng sạc: Micro-USB,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz),A-GPS,v5.3,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 12 (ColorOS 12.1),Ốp lưng Sách HDSD Cáp Micro-USB Sạc,1 TB,,,,,,,,,,,,,,,,,,,,
Masstel Fami 60S,385.000 ₫,700.000 ₫,6 tháng,Trầy xước ít,Trung Quốc,02/2024,6,,,126x 57x15.2,141 g,,Khung máy: Nhựa cao cấp,,,,,,2 inch,IPS,QVGA,320 x 240 Pixels,260.000,,Mặt kính cong 2.5D,,,,128 MB,,2000,MicroSD,,,,,,,,,,4G,Cổng sạc: Type C,,,Có,,2,2 Nano SIM,,2300 mAh,Không,Không,Sạc,32 GB,,,,,,,,,,,,,,,,,,,,
OPPO A18 4GB,2.596.000 ₫,3.290.000 ₫,10 tháng,Trầy xước ít,Trung Quốc,11/2023,10,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,163.74 x 75.03 x 8.16 mm,188 g,IP54,Nhựa,Helio G85,,8,2 GHz,4 GB,6.56 inch,LCD,HD+,720 x 1612 Pixels,16 Triệu,90 Hz,Kính cường lực Panda,Điện dung đa điểm,,Mali-G52 MP2,64 GB,,,MicroSD,Double rear camera,Standard - Depth,8.0 MP - 2.0 MP - 5.0 MP,ƒ/2.0 - ƒ/2.4 - ƒ/2.2,1080p@30fps 720p@30fps,,Single selfie camera,Cảm biến vân tay Cảm biến tiệm cận Cảm biến ánh sáng Cảm biến gia tốc Cảm biến la bàn,Mở khoá vân tay cạnh viền Mở khóa bằng mật mã,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz),GPS,v5.3,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0 (ColorOS 13.1),Sạc Cáp Type C Que lấy SIM Ốp lưng Sách HDSD,1 TB,,,,,,,,,,,,,,,,,,,,
Honor X9b 12GB,5.724.180 ₫,8.990.000 ₫,9 tháng,Trầy xước ít,Trung Quốc,01/2024,9,,,163.6 x 75.5 x 7.98 mm,185 g,,Khung máy: Nhựa,Snapdragon 6 Gen 1,,8,2.2 GHz,12 GB,6.78 inch,,AMOLED,1200 x 2652 Pixels,1.07 tỷ,120,Kính cường lực,Cảm ứng đa điểm,,Adreno A710,256 GB,Khoảng 223 GB,,Không,Triple rear camera,Standard - Wide - Ultra Wide,108.0 MP - 5.0 MP - 2.0 MP - 16.0 MP,ƒ/1.75 - ƒ/2.2 - ƒ/2.4 - ƒ/2.45,4K 1080p@30fps - Quay phim 4K,Ban đêm (Night Mode) Chụp chân dung Chuyên nghiệp (Pro) Toàn cảnh (Panorama) HDR Bộ lọc màu Hình chìm mờ Trôi nhanh thời gian (Time Lapse) Siêu cận (Macro) Chụp nụ cười Quay chậm (Slow Motion) - Chế độ chân dung Bộ lọc màu Chụp nụ cười Gương phản chiếu Hẹn giờ chụp tự động Điều khiển bằng động tác,Single selfie camera,,Mở khóa khuôn mặt Mở khóa vân tay dưới màn hình,5G 4G 3G,Cổng sạc: Type C Audio Jack: Type C,802.11 a/b/g/n/ac,GPS A-GPS GLONASS BEIDOU GALILEO,v5.1,,2,2 Nano SIM,Lithium polymer,5800 mAh,Android,Android 13.0,Ốp lưng Sạc Sách HDSD,,,,,19:9:9,,,,,4 x A78 2.2 GHz + 4 x A55 1.8 GHz,,,,,,,,,,,
Samsung Galaxy A05s,2.475.000 ₫,3.990.000 ₫,3 tháng,Trầy xước ít,Việt Nam / Trung Quốc,09/2023,3,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,168 x 77.8 x 8.8,194 g,,Nhựa Polycarbonate,Snapdragon 680,,8,2.4 GHz,4 GB,6.7 inch,PLS LCD,FHD+,1080 x 2400 Pixels,,90 Hz,,Điện dung đa điểm,1000 nits,,128 GB,,,MicroSD,Triple rear camera,Wide - Ultra Wide - Macro lens,50.0 MP - 2.0 MP - 2.0 MP - 13.0 MP,ƒ/2.4 - ƒ/2.4 - ƒ/2.0,,,Single selfie camera,,Mở khoá vân tay cạnh viền,4G,Type C,802.11 a/b/g,GLONASS,Có,Jack 3.5 mm,2,2 Nano SIM,,5000 mAh,Android,Android 13.0,Sách HDSD Que lấy SIM Cáp,1 TB,,,,,,,,,,,,,,,,,,,,
OPPO A18 4GB,2.596.000 ₫,3.290.000 ₫,10 tháng,Trầy xước ít,Trung Quốc,11/2023,10,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,163.74 x 75.03 x 8.16 mm,188 g,IP54,Nhựa,Helio G85,,8,2 GHz,4 GB,6.56 inch,LCD,HD+,720 x 1612 Pixels,16 Triệu,90 Hz,Kính cường lực Panda,Điện dung đa điểm,,Mali-G52 MP2,64 GB,,,MicroSD,Double rear camera,Standard - Depth,8.0 MP - 2.0 MP - 5.0 MP,ƒ/2.0 - ƒ/2.4 - ƒ/2.2,1080p@30fps 720p@30fps,,Single selfie camera,Cảm biến vân tay Cảm biến tiệm cận Cảm biến ánh sáng Cảm biến gia tốc Cảm biến la bàn,Mở khoá vân tay cạnh viền Mở khóa bằng mật mã,4G,Cổng sạc: Type C Audio Jack: Jack 3.5 mm,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz),GPS,v5.3,OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0 (ColorOS 13.1),Sạc Cáp Type C Que lấy SIM Ốp lưng Sách HDSD,1 TB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S22 5G,7.300.480 ₫,21.990.000 ₫,1 tháng,Trầy xước ít,Việt Nam,03/2022,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,161.4 x 75.6 x 7.8,189 g,IP68,,Snapdragon 8 Gen 1,Octa-Core,8,2.2 GHz,8 GB,6.1 inch,Dynamic AMOLED 2X,FHD+,1080 x 2340 Pixels,16 Triệu,120 Hz,Gorilla Glass Victus,Điện dung đa điểm,,,128 GB,,Không giới hạn,Không,Triple rear camera,Standard - Ultra Wide - Telephoto,50.0 MP - 12.0 MP - 10.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4 - ƒ/2.2,4K 2160p@30fps FullHD 1080p@240fps - Quay phim 4K Quay phim FullHD,Ban đêm (Night Mode) A.I Camera - A.I Camera HDR,Single selfie camera,Cảm biến ánh sáng,Mở khóa vân tay dưới màn hình Mở khóa khuôn mặt Mở khóa bằng mật mã,4G 5G,Cổng sạc: Type C,802.11 a/b/g/n/ac/ax,A-GPS,v5.2,NFC OTG,2,"2 Nano SIM hoặc 1 eSIM, 1 Nano SIM",Lithium-ion,3700 mAh,Android,Android 12,Que lấy SIM Sách HDSD Cáp,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi Note 12 4GB,2.596.000 ₫,Not available,1 tháng,Trầy xước ít,,,1,,,,,,,,,,,,,,,,,,,,,,128 GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realme C51 3GB,2.465.430 ₫,4.490.000 ₫,6 tháng,Trầy xước nhiều,Trung Quốc,01/2023,6,,,167.2 x 76.7 x 7.99 mm,186 g,,Khung máy: Nhựa,Unisoc T612,Octa-Core,8,1.8 GHz,6 GB,6.74 inch,IPS LCD,HD,720 x 1600 Pixels,16.7 Triệu,90,,,,IMG GE8320,256 GB,Khoảng 230 GB,,MicroSD,Double rear camera,Standard,50.0 MP - 2.0 MP - 5.0 MP,ƒ/1.8 - ƒ/2.4 - ƒ/2.2,,Ban đêm (Night Mode) Toàn cảnh (Panorama) Chuyên nghiệp (Pro) Trôi nhanh thời gian (Time Lapse) Chụp chân dung HDR Nhận dạng cảnh AI Bộ lọc màu Quay chậm (Slow Motion) - Nhận diện khuôn mặt Làm đẹp (Beautify) HDR Điều khiển bằng động tác Xoá phông Quay video HD Hiệu ứng Bokeh Bộ lọc màu Quay video CIF,Single selfie camera,Cảm biến vân tay,,4G,Type C,802.11 a/b/g/n/ac,GPS A-GPS GLONASS BEIDOU GALILEO,v5.0,,2,,Lithium polymer,5000 mAh,Android,Android 13.0,Ốp lưng Sạc Sách HDSD,,,,,,,,,,2 x Cortex A75 1.8 GHz + 6 x Cortex A55 1.8 GHz,,,,,,,,,,,
Điện thoại OPPO A58 6GB Demo,3.647.050 ₫,Not available,9 tháng,Trầy xước ít,Trung Quốc,07/2023,9,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,160 x 73.23 x 7.93 mm,180 g,IP54,Khung máy: Hợp kim Mặt lưng máy: Thủy tinh hữu cơ,Helio G85,,8,2.40 GHz,6 GB,6.7 inch,Màn hình chính: IPS LCD,Màn hình chính: FHD+,Màn hình chính: 1080 x 2400 Pixels,16 Triệu,90 Hz,Màn hình chính: Gorilla Glass 5,Điện dung đa điểm,,,128 GB,,Không giới hạn,MicroSD,Double rear camera,Standard - Depth,50.0 MP - 2.0 MP - 8.0 MP,ƒ/2.0,HD 720p@30fps FullHD 1080p@30fps - Quay phim HD Quay phim FullHD,A.I Camera Quay chậm (Slow Motion) Tự động lấy nét (AF) Toàn cảnh (Panorama) Chuyên nghiệp (Pro) Trôi nhanh thời gian (Time Lapse) Xóa phông Ban đêm (Night Mode) - A.I Camera Nhãn dán (AR Stickers) Ban đêm (Night Mode),Single selfie camera,Cảm biến tiệm cận Cảm biến gia tốc Cảm biến la bàn Cảm biến vân tay Cảm biến trọng lực Cảm biến ánh sáng,Mở khoá vân tay cạnh viền Mật khẩu Mở khóa khuôn mặt,4G,Type C,802.11 a/b/g/n/ac Dual-band (2.4 GHz/ 5 GHz),GPS,v5.0,Jack 3.5 mm OTG,2,2 Nano SIM,Lithium polymer,5000 mAh,Android,Android 13.0 (ColorOS 13.1),Sách HDSD Ốp lưng Que lấy SIM Sạc,1 TB,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy Z Flip5 5G,10.099.540 ₫,25.990.000 ₫,1 tháng,Trầy xước ít,Việt Nam / Trung Quốc,07/2023,1,"Để nơi khô ráo, nhẹ tay, dễ vỡ.",Xem trong sách hướng dẫn sử dụng,165.2 x 71.9 x 6.9,187 g,IPX8,Mặt lưng máy: Kính cường lực Khung máy: Nhôm nguyên khối,Snapdragon 8 Gen 2,Octa-Core,8,,8 GB,6.7 inch,Dynamic AMOLED,FHD+,1080 x 2636 Pixels,16 Triệu,120 Hz,,Điện dung đa điểm,1000 nits,Adreno 740,256 GB,,Không giới hạn,Không,Double rear camera,Wide - Ultra Wide,12.0 MP - 12.0 MP - 10.0 MP,ƒ/1.8 - ƒ/2.2 - ƒ/2.4,FullHD 1080p@30fps FullHD 1080p@60fps HD 720p@30fps 4K 2160p@30fps 4K 2160p@60fps - Quay phim FullHD,A.I Camera Ban đêm (Night Mode) Cài đặt cân bằng trắng Chống rung quang học (OIS) Chụp góc rộng (Wide) Chụp góc siêu rộng (Ultrawide) Chuyên nghiệp (Pro) Flash LED Gắn thẻ ảnh địa lý HDR ISO Setting Làm đẹp (Beautify) Làm đẹp video Lấy nét laser Lấy nét theo pha (PDAF) Nhận diện khuôn mặt Ổn định hình ảnh quang học Quay chậm (Slow Motion) Toàn cảnh (Panorama) Trôi nhanh thời gian (Time Lapse) Tự động lấy nét (AF) Xóa phông Zoom quang học Zoom kỹ thuật số - A.I Camera HDR Làm đẹp (Beautify) Nhãn dán (AR Stickers) Nhận diện khuôn mặt Tự động lấy nét (AF),Single selfie camera,Cảm biến ánh sáng Cảm biến la bàn Cảm biến tiệm cận Cảm biến vân tay,Mở khóa bằng mật mã Mở khóa khuôn mặt,4G 5G,Cổng sạc: Type C Audio Jack: Type C,802.11 a/b/g/n,BEIDOU QZSS GPS GLONASS GALILEO,v5.3,,1,"1 eSIM, 1 Nano SIM",Lithium polymer,3700 mAh,Android,Android 13.0,Que lấy SIM Sách HDSD,,,LPDDR5,3.4 inch,21:9,,,,,,,,,,,,,,,,
